,name,lon,lat,zNum,carCap,carDisCap,address
0,Парковка №0302 (3),37.583077,55.746827,0302,43.0,0.0,"улица Арбат, дом 54/2, строение 2"
1,Парковка №0302 (3),37.584729,55.747312,0302,43.0,0.0,"улица Арбат, дом 54/2, строение 2"
2,,,,,,,
3,Парковка №0302 (11),37.592244,55.753111,0302,14,0,"улица Большая Молчановка, дом 17"
4,Парковка №0302 (11),37.593449,55.75313,0302,14,0,"улица Большая Молчановка, дом 17"
5,,,,,,,
6,Парковка №0302 (14),37.594948,55.753231,0302,12,2,"улица Новый Арбат, дом 8"
7,Парковка №0302 (14),37.595511,55.753252,0302,12,2,"улица Новый Арбат, дом 8"
8,,,,,,,
9,Парковка №0302 (36),37.600767,55.750142,0302,16,0,"улица Знаменка, дом 19, строение 10"
10,Парковка №0302 (36),37.600598,55.749265,0302,16,0,"улица Знаменка, дом 19, строение 10"
11,,,,,,,
12,Парковка №0302 (47),37.600416,55.751879,0302,12,2,"улица Арбат, дом 1"
13,Парковка №0302 (47),37.600459,55.752129,0302,12,2,"улица Арбат, дом 1"
14,Парковка №0302 (47),37.600467,55.752383,0302,12,2,"улица Арбат, дом 1"
15,Парковка №0302 (47),37.600515,55.752491,0302,12,2,"улица Арбат, дом 1"
16,,,,,,,
17,Парковка №0302 (64),37.593594,55.751375,0302,15,0,"улица Арбат, дом 18/1, строение 2"
18,Парковка №0302 (64),37.593886,55.750777,0302,15,0,"улица Арбат, дом 18/1, строение 2"
19,,,,,,,
20,Парковка №0302 (126),37.597023,55.752327,0302,12,0,"улица Арбат, дом 6/2"
21,Парковка №0302 (126),37.597155,55.751546,0302,12,0,"улица Арбат, дом 6/2"
22,,,,,,,
23,Парковка №0302 (127),37.596843,55.752467,0302,13,3,"улица Новый Арбат, дом 11, строение 2"
24,Парковка №0302 (127),37.596996,55.751633,0302,13,3,"улица Новый Арбат, дом 11, строение 2"
25,,,,,,,
26,Парковка №0302 (251),37.578908,55.752175,0302,19,0,"улица Новый Арбат, дом 27"
27,Парковка №0302 (251),37.579956,55.752181,0302,19,0,"улица Новый Арбат, дом 27"
28,,,,,,,
29,Парковка №0302 (250),37.581005,55.752182,0302,14,2,"улица Новый Арбат, дом 25"
30,Парковка №0302 (250),37.582621,55.752179,0302,14,2,"улица Новый Арбат, дом 25"
31,,,,,,,
32,Парковка №0301 (18),37.583754,55.74296,0301,12,0,"Смоленский бульвар, дом 19, строение 1"
33,Парковка №0301 (18),37.583465,55.743662,0301,12,0,"Смоленский бульвар, дом 19, строение 1"
34,,,,,,,
35,Парковка №0301 (24),37.570801,55.739482,0301,28,4,"Саввинская набережная, дом 3"
36,Парковка №0301 (24),37.570362,55.738959,0301,28,4,"Саввинская набережная, дом 3"
37,Парковка №0301 (24),37.569643,55.738189,0301,28,4,"Саввинская набережная, дом 3"
38,Парковка №0301 (24),37.569122,55.737688,0301,28,4,"Саввинская набережная, дом 3"
39,,,,,,,
40,Парковка №0301 (25),37.566311,55.735343,0301,22,2,"Саввинская набережная, дом 11"
41,Парковка №0301 (25),37.568157,55.736597,0301,22,2,"Саввинская набережная, дом 11"
42,,,,,,,
43,Парковка №0301 (28),37.56106,55.732861,0301,21,0,"Большой Саввинский переулок, дом 12, строение 8"
44,Парковка №0301 (28),37.563077,55.733803,0301,21,0,"Большой Саввинский переулок, дом 12, строение 8"
45,,,,,,,
46,Парковка №0301 (29),37.564407,55.73446,0301,45,4,"Саввинская набережная, дом 19, строение 1Б"
47,Парковка №0301 (29),37.565464,55.735059,0301,45,4,"Саввинская набережная, дом 19, строение 1Б"
48,Парковка №0301 (29),37.566462,55.735682,0301,45,4,"Саввинская набережная, дом 19, строение 1Б"
49,Парковка №0301 (29),37.566966,55.736015,0301,45,4,"Саввинская набережная, дом 19, строение 1Б"
50,Парковка №0301 (29),37.567384,55.736318,0301,45,4,"Саввинская набережная, дом 19, строение 1Б"
