,name,lon,lat,zNum,carCap,carDisCap,address
0,Парковка №0302 (5),37.591159,55.751103,0302,8.0,1.0,"Малый Николопесковский переулок, дом 9/1, строение 1"
1,Парковка №0302 (5),37.591905,55.751191,0302,8.0,1.0,"Малый Николопесковский переулок, дом 9/1, строение 1"
2,,,,,,,
3,Парковка №0302 (7),37.586985,55.753541,0302,8,0,"улица Большая Молчановка, дом 36, строение 1"
4,Парковка №0302 (7),37.588015,55.753504,0302,8,0,"улица Большая Молчановка, дом 36, строение 1"
5,,,,,,,
6,Парковка №0302 (22),37.584041,55.754023,0302,7,2,"Новинский бульвар, дом 18, строение 1"
7,Парковка №0302 (22),37.584105,55.754325,0302,7,2,"Новинский бульвар, дом 18, строение 1"
8,,,,,,,
9,Парковка №0302 (33),37.60795,55.753696,0302,8,2,"Романов переулок, дом 3, строение 1"
10,Парковка №0302 (33),37.607826,55.753487,0302,8,2,"Романов переулок, дом 3, строение 1"
11,Парковка №0302 (33),37.607628,55.753179,0302,8,2,"Романов переулок, дом 3, строение 1"
12,,,,,,,
13,Парковка №0302 (55),37.583995,55.748442,0302,11,2,"Троилинский переулок, дом 3"
14,Парковка №0302 (55),37.584446,55.747821,0302,11,2,"Троилинский переулок, дом 3"
15,,,,,,,
16,Парковка №0302 (228),37.583121,55.748356,0302,7,0,"Карманицкий переулок, дом 9"
17,Парковка №0302 (228),37.583936,55.74852,0302,7,0,"Карманицкий переулок, дом 9"
18,,,,,,,
19,Парковка №0302 (224),37.586822,55.749414,0302,7,0,"Спасопесковский переулок, дом 3/1, строение 1"
20,Парковка №0302 (224),37.587439,55.74961,0302,7,0,"Спасопесковский переулок, дом 3/1, строение 1"
21,,,,,,,
22,Парковка №0302 (221),37.584953,55.748786,0302,10,0,"Карманицкий переулок, дом 5"
23,Парковка №0302 (221),37.585634,55.74901,0302,10,0,"Карманицкий переулок, дом 5"
24,,,,,,,
25,Парковка №0302 (60),37.590011,55.747948,0302,11,0,"Кривоарбатский переулок, дом 11"
26,Парковка №0302 (60),37.59095,55.748235,0302,11,0,"Кривоарбатский переулок, дом 11"
27,,,,,,,
28,Парковка №0302 (214),37.588316,55.747379,0302,7,0,"Плотников переулок, дом 20/21"
29,Парковка №0302 (214),37.58839,55.747004,0302,7,0,"Плотников переулок, дом 20/21"
30,,,,,,,
31,Парковка №0302 (66),37.591441,55.753868,0302,9,2,"Большой Ржевский переулок, дом 5"
32,Парковка №0302 (66),37.590659,55.753374,0302,9,2,"Большой Ржевский переулок, дом 5"
33,,,,,,,
34,Парковка №0302 (67),37.590852,55.753403,0302,10,0,"улица Большая Молчановка, дом 24/2, строение 1А"
35,Парковка №0302 (67),37.591594,55.753894,0302,10,0,"улица Большая Молчановка, дом 24/2, строение 1А"
36,,,,,,,
37,Парковка №0302 (83),37.592775,55.753729,0302,8,0,"улица Малая Молчановка, дом 7, строение 4"
38,Парковка №0302 (83),37.591918,55.753931,0302,8,0,"улица Малая Молчановка, дом 7, строение 4"
39,,,,,,,
40,Парковка №0302 (107),37.586752,55.754303,0302,8,0,"Трубниковский переулок, дом 24, строение 1"
41,Парковка №0302 (107),37.58679,55.754568,0302,8,0,"Трубниковский переулок, дом 24, строение 1"
42,Парковка №0302 (107),37.58687,55.754782,0302,8,0,"Трубниковский переулок, дом 24, строение 1"
43,,,,,,,
44,Парковка №0302 (109),37.587098,55.755703,0302,7,0,"Трубниковский переулок, дом 21, строение 2"
45,Парковка №0302 (109),37.587202,55.755978,0302,7,0,"Трубниковский переулок, дом 21, строение 2"
46,Парковка №0302 (109),37.587289,55.756183,0302,7,0,"Трубниковский переулок, дом 21, строение 2"
47,,,,,,,
48,Парковка №0302 (116),37.587414,55.756159,0302,9,0,"Поварская улица, дом 29/36, строение 2"
49,Парковка №0302 (116),37.587505,55.756348,0302,9,0,"Поварская улица, дом 29/36, строение 2"
50,Парковка №0302 (116),37.587691,55.756553,0302,9,0,"Поварская улица, дом 29/36, строение 2"
51,,,,,,,
52,Парковка №0302 (119),37.592114,55.749134,0302,9,2,"Калошин переулок, дом 10, строение 1"
53,Парковка №0302 (119),37.592168,55.748713,0302,9,2,"Калошин переулок, дом 10, строение 1"
54,,,,,,,
55,Парковка №0302 (209),37.585623,55.750087,0302,10,0,"переулок Каменная Слобода, дом 6/2, строение 2"
56,Парковка №0302 (209),37.586417,55.750268,0302,10,0,"переулок Каменная Слобода, дом 6/2, строение 2"
57,,,,,,,
