,name,lon,lat,zNum,carCap,carDisCap,address
0,Парковка №0302 (2),37.583203,55.746957,0302,5.0,5.0,"улица Арбат, дом 54/2, строение 1"
1,Парковка №0302 (2),37.584011,55.747193,0302,5.0,5.0,"улица Арбат, дом 54/2, строение 1"
2,,,,,,,
3,Парковка №0302 (8),37.591346,55.753257,0302,5,0,"улица Большая Молчановка, дом 24/2, строение 1А"
4,Парковка №0302 (8),37.591294,55.753178,0302,5,0,"улица Большая Молчановка, дом 24/2, строение 1А"
5,Парковка №0302 (8),37.590977,55.753211,0302,5,0,"улица Большая Молчановка, дом 24/2, строение 1А"
6,,,,,,,
7,Парковка №0302 (15),37.58885,55.753365,0302,4,0,"улица Новый Арбат, дом 22"
8,Парковка №0302 (15),37.589036,55.753359,0302,4,0,"улица Новый Арбат, дом 22"
9,,,,,,,
10,Парковка №0302 (16),37.590242,55.750858,0302,4,0,"Большой Николопесковский переулок, дом 6"
11,Парковка №0302 (16),37.590339,55.750671,0302,4,0,"Большой Николопесковский переулок, дом 6"
12,,,,,,,
13,Парковка №0302 (19),37.590765,55.750024,0302,5,0,"улица Арбат, дом 26"
14,Парковка №0302 (19),37.591015,55.749733,0302,5,0,"улица Арбат, дом 26"
15,,,,,,,
16,Парковка №0302 (20),37.58322,55.753763,0302,5,2,"Новинский бульвар, дом 13"
17,Парковка №0302 (20),37.583268,55.754117,0302,5,2,"Новинский бульвар, дом 13"
18,,,,,,,
19,Парковка №0302 (23),37.584159,55.754537,0302,5,2,"Новинский бульвар, дом 18, строение 1"
20,Парковка №0302 (23),37.584212,55.754861,0302,5,2,"Новинский бульвар, дом 18, строение 1"
21,,,,,,,
22,Парковка №0302 (27),37.592726,55.753177,0302,5,0,"улица Большая Молчановка, дом 18"
23,Парковка №0302 (27),37.593284,55.753189,0302,5,0,"улица Большая Молчановка, дом 18"
24,,,,,,,
25,Парковка №0302 (30),37.60571,55.753248,0302,6,2,"улица Воздвиженка, дом 10"
26,Парковка №0302 (30),37.605906,55.753642,0302,6,2,"улица Воздвиженка, дом 10"
27,,,,,,,
28,Парковка №0302 (31),37.606099,55.75418,0302,4,0,"Большой Кисловский переулок, дом 4, строение 1"
29,Парковка №0302 (31),37.60619,55.75438,0302,4,0,"Большой Кисловский переулок, дом 4, строение 1"
30,,,,,,,
31,Парковка №0302 (37),37.599598,55.748846,0302,6,0,"Гоголевский бульвар, дом 25, строение 1"
32,Парковка №0302 (37),37.599555,55.748616,0302,6,0,"Гоголевский бульвар, дом 25, строение 1"
33,,,,,,,
34,Парковка №0302 (39),37.599754,55.749841,0302,5,2,"Гоголевский бульвар, дом 29"
35,Парковка №0302 (39),37.599663,55.749501,0302,5,2,"Гоголевский бульвар, дом 29"
36,,,,,,,
37,Парковка №0302 (42),37.599517,55.748392,0302,6,0,"Гоголевский бульвар, дом 23"
38,Парковка №0302 (42),37.599463,55.748102,0302,6,0,"Гоголевский бульвар, дом 23"
39,,,,,,,
40,Парковка №0302 (44),37.585575,55.751173,0302,4,2,"Композиторская улица, дом 17, строение 2"
