,name,lon,lat,zNum,carCap,carDisCap,address
0,Парковка №0302 (4),37.59043,55.751004,0302,2.0,0.0,"Большой Николопесковский переулок, дом 6"
1,Парковка №0302 (4),37.590564,55.751022,0302,2.0,0.0,"Большой Николопесковский переулок, дом 6"
2,,,,,,,
3,Парковка №0302 (6),37.586631,55.753555,0302,1,0,"улица Большая Молчановка, дом 36, строение 1"
4,Парковка №0302 (6),37.58687,55.753545,0302,1,0,"улица Большая Молчановка, дом 36, строение 1"
5,,,,,,,
6,Парковка №0302 (9),37.592262,55.753168,0302,2,2,"улица Большая Молчановка, дом 18"
7,Парковка №0302 (9),37.5924,55.753171,0302,2,2,"улица Большая Молчановка, дом 18"
8,,,,,,,
9,Парковка №0302 (10),37.590736,55.753175,0302,3,0,"улица Большая Молчановка, дом 21А"
10,Парковка №0302 (10),37.591222,55.753125,0302,3,0,"улица Большая Молчановка, дом 21А"
11,,,,,,,
12,Парковка №0302 (12),37.594473,55.753451,0302,3,0,"улица Большая Молчановка, дом 12, строение 1"
13,Парковка №0302 (12),37.594784,55.753377,0302,3,0,"улица Большая Молчановка, дом 12, строение 1"
14,,,,,,,
15,Парковка №0302 (13),37.594104,55.753465,0302,2,2,"улица Малая Молчановка, дом 2"
16,Парковка №0302 (13),37.594237,55.753433,0302,2,2,"улица Малая Молчановка, дом 2"
17,,,,,,,
18,Парковка №0302 (17),37.590038,55.751285,0302,2,0,"Большой Николопесковский переулок, дом 10, строение 1"
19,Парковка №0302 (17),37.590113,55.751131,0302,2,0,"Большой Николопесковский переулок, дом 10, строение 1"
20,,,,,,,
21,Парковка №0302 (18),37.59058,55.750262,0302,3,3,"Большой Николопесковский переулок, дом 4, строение 1"
22,Парковка №0302 (18),37.590698,55.750096,0302,3,3,"Большой Николопесковский переулок, дом 4, строение 1"
23,,,,,,,
24,Парковка №0302 (21),37.583284,55.754271,0302,3,0,"Новинский бульвар, дом 15"
25,Парковка №0302 (21),37.583306,55.754401,0302,3,0,"Новинский бульвар, дом 15"
26,Парковка №0302 (21),37.5833,55.754531,0302,3,0,"Новинский бульвар, дом 15"
27,,,,,,,
28,Парковка №0302 (24),37.584153,55.755154,0302,3,0,"Новинский бульвар, дом 18, строение 1"
29,Парковка №0302 (24),37.58418,55.755375,0302,3,0,"Новинский бульвар, дом 18, строение 1"
30,,,,,,,
31,Парковка №0302 (25),37.584368,55.755466,0302,3,0,"Новинский бульвар, дом 18, строение 1"
32,Парковка №0302 (25),37.584411,55.755765,0302,3,0,"Новинский бульвар, дом 18, строение 1"
33,,,,,,,
34,Парковка №0302 (26),37.584459,55.756159,0302,3,0,"Новинский бульвар, дом 18, строение 1"
35,Парковка №0302 (26),37.584475,55.756231,0302,3,0,"Новинский бульвар, дом 18, строение 1"
36,Парковка №0302 (26),37.58447,55.756304,0302,3,0,"Новинский бульвар, дом 18, строение 1"
37,,,,,,,
38,Парковка №0302 (28),37.593745,55.753296,0302,2,2,"улица Новый Арбат, дом 10"
39,Парковка №0302 (28),37.593831,55.753413,0302,2,2,"улица Новый Арбат, дом 10"
40,,,,,,,
41,Парковка №0302 (29),37.607,55.755678,0302,3,0,"Большой Кисловский переулок, дом 10, строение 1"
42,Парковка №0302 (29),37.607161,55.755853,0302,3,0,"Большой Кисловский переулок, дом 10, строение 1"
43,,,,,,,
44,Парковка №0302 (32),37.606722,55.755255,0302,2,0,"Большой Кисловский переулок, дом 10, строение 1"
45,Парковка №0302 (32),37.606834,55.755415,0302,2,0,"Большой Кисловский переулок, дом 10, строение 1"
46,,,,,,,
47,Парковка №0302 (34),37.607538,55.753015,0302,2,0,"улица Воздвиженка, дом 8/1, строение 1"
48,Парковка №0302 (34),37.607434,55.752833,0302,2,0,"улица Воздвиженка, дом 8/1, строение 1"
49,,,,,,,
50,Парковка №0302 (35),37.608604,55.754634,0302,3,0,"Романов переулок, дом 7"
51,Парковка №0302 (35),37.608803,55.754838,0302,3,0,"Романов переулок, дом 7"
52,,,,,,,
53,Парковка №0302 (38),37.599823,55.750107,0302,2,0,"Гоголевский бульвар, дом 29"
54,Парковка №0302 (38),37.599777,55.749929,0302,2,0,"Гоголевский бульвар, дом 29"
55,,,,,,,
56,Парковка №0302 (40),37.599636,55.749393,0302,2,0,"Гоголевский бульвар, дом 29"
57,Парковка №0302 (40),37.599586,55.749172,0302,2,0,"Гоголевский бульвар, дом 29"
58,,,,,,,
59,Парковка №0302 (41),37.599308,55.747364,0302,2,0,"Гоголевский бульвар, дом 19/2"
60,Парковка №0302 (41),37.599295,55.747291,0302,2,0,"Гоголевский бульвар, дом 19/2"
61,,,,,,,
62,Парковка №0302 (43),37.58433,55.750879,0302,1,0,"Композиторская улица, дом 25/5, строение 1"
63,Парковка №0302 (43),37.584443,55.750904,0302,1,0,"Композиторская улица, дом 25/5, строение 1"
64,,,,,,,
65,Парковка №0302 (48),37.608277,55.754219,0302,3,0,"Романов переулок, дом 3, строение 7"
66,Парковка №0302 (48),37.608411,55.754416,0302,3,0,"Романов переулок, дом 3, строение 7"
67,,,,,,,
68,Парковка №0302 (50),37.600547,55.748955,0302,2,2,"Гоголевский бульвар, дом 16"
69,Парковка №0302 (50),37.600574,55.749055,0302,2,2,"Гоголевский бульвар, дом 16"
70,,,,,,,
71,Парковка №0302 (51),37.606956,55.749921,0302,3,0,"улица Воздвиженка, дом 3/5, строение 1"
72,Парковка №0302 (51),37.607081,55.750078,0302,3,0,"улица Воздвиженка, дом 3/5, строение 1"
73,,,,,,,
74,Парковка №0302 (52),37.607196,55.750263,0302,3,0,"Староваганьковский переулок, дом 14"
75,Парковка №0302 (52),37.607298,55.750414,0302,3,0,"Староваганьковский переулок, дом 14"
76,,,,,,,
77,Парковка №0302 (53),37.607509,55.750855,0302,3,0,"улица Воздвиженка, дом 3/5, строение 9"
78,Парковка №0302 (53),37.60756,55.750985,0302,3,0,"улица Воздвиженка, дом 3/5, строение 9"
79,,,,,,,
80,Парковка №0302 (227),37.585135,55.74901,0302,2,0,"Карманицкий переулок, дом 10"
81,Парковка №0302 (227),37.58543,55.7491,0302,2,0,"Карманицкий переулок, дом 10"
82,,,,,,,
83,Парковка №0302 (226),37.585945,55.749094,0302,3,0,"Карманицкий переулок, дом 3А, строение 1"
84,Парковка №0302 (226),37.58617,55.749167,0302,3,0,"Карманицкий переулок, дом 3А, строение 1"
85,,,,,,,
86,Парковка №0302 (218),37.584711,55.750861,0302,1,0,"Композиторская улица, дом 25/5, строение 1"
87,Парковка №0302 (218),37.584738,55.750795,0302,1,0,"Композиторская улица, дом 25/5, строение 1"
88,,,,,,,
89,Парковка №0302 (56),37.588466,55.747467,0302,2,0,"Кривоарбатский переулок, дом 19"
90,Парковка №0302 (56),37.588617,55.747512,0302,2,0,"Кривоарбатский переулок, дом 19"
91,,,,,,,
92,Парковка №0302 (59),37.589394,55.747772,0302,3,0,"Кривоарбатский переулок, дом 15, строение 1"
93,Парковка №0302 (59),37.589727,55.747862,0302,3,0,"Кривоарбатский переулок, дом 15, строение 1"
94,,,,,,,
95,Парковка №0302 (61),37.591192,55.748704,0302,3,0,"Кривоарбатский переулок, дом 3"
96,Парковка №0302 (61),37.591256,55.74848,0302,3,0,"Кривоарбатский переулок, дом 3"
97,,,,,,,
98,Парковка №0302 (215),37.588166,55.747636,0302,1,0,"Кривоарбатский переулок, дом 16/22"
99,Парковка №0302 (215),37.588193,55.747585,0302,1,0,"Кривоарбатский переулок, дом 16/22"
100,,,,,,,
101,Парковка №0302 (213),37.588037,55.747827,0302,1,0,"Кривоарбатский переулок, дом 16/22"
102,Парковка №0302 (213),37.588091,55.747733,0302,1,0,"Кривоарбатский переулок, дом 16/22"
103,,,,,,,
104,Парковка №0302 (72),37.58962,55.753917,0302,2,0,"Борисоглебский переулок, дом 6, строение 2"
105,Парковка №0302 (72),37.589673,55.754017,0302,2,0,"Борисоглебский переулок, дом 6, строение 2"
106,,,,,,,
107,Парковка №0302 (74),37.590103,55.75438,0302,1,0,"Борисоглебский переулок, дом 8, строение 1"
108,Парковка №0302 (74),37.59014,55.75444,0302,1,0,"Борисоглебский переулок, дом 8, строение 1"
109,,,,,,,
110,Парковка №0302 (76),37.590424,55.754806,0302,3,0,"Борисоглебский переулок, дом 15, строение 3"
111,Парковка №0302 (76),37.590601,55.754939,0302,3,0,"Борисоглебский переулок, дом 15, строение 3"
112,,,,,,,
113,Парковка №0302 (77),37.590162,55.754604,0302,2,0,"Борисоглебский переулок, дом 13, строение 2"
114,Парковка №0302 (77),37.590306,55.754728,0302,2,0,"Борисоглебский переулок, дом 13, строение 2"
115,,,,,,,
116,Парковка №0302 (78),37.590698,55.755003,0302,2,0,"Борисоглебский переулок, дом 15, строение 3"
117,Парковка №0302 (78),37.590795,55.755076,0302,2,0,"Борисоглебский переулок, дом 15, строение 3"
118,,,,,,,
119,Парковка №0302 (79),37.59097,55.755203,0302,3,3,"Поварская улица, дом 21/17, строение 1"
